"U vs RHE (V)","C$_2$, pc-Cu, (COR), (Hori), pH = 6.0",,"C$_2$, pc-Cu, (COR), (Hori), pH = 7.1",,"C$_2$, pc-Cu, (COR), (Hori), pH = 8.0",,"C$_2$, pc-Cu, (COR), (Hori), pH = 8.7",,"C$_2$, pc-Cu, (COR), (Hori), pH = 9.0",,"C$_2$, pc-Cu, (COR), (Hori), pH = 10.5",,"C$_2$, pc-Cu, (COR), (Hori), pH = 12.2",,"C$_1$, pc-Cu, (COR), (Hori), pH = 6.0",,"C$_1$, pc-Cu, (COR), (Hori), pH = 7.1",,"C$_1$, pc-Cu, (COR), (Hori), pH = 8.0",,"C$_1$, pc-Cu, (COR), (Hori), pH = 8.7",,"C$_1$, pc-Cu, (COR), (Hori), pH = 9.0",,"C$_1$, pc-Cu, (COR), (Hori), pH = 10.5",,"C$_1$, pc-Cu, (COR), (Hori), pH = 12.2"
-1.0993,-1.7820715,-1.2359,-1.2295915,-1.2037,-1.2018977,-1.2544,-0.879660098,-1.2679,-0.783630628,-1.3300,-0.48918592,-1.3762,-0.167211008,-1.10,-2.3613498,-1.24,-0.526428,-1.21,-2.0208488,-1.28,-1.2928845,-1.27,-1.6025076,-1.33,-1.437087,-1.38,-1.366778
-1.1411,-1.6587746,-1.2544,-0.733962137,-1.2786,-0.628244604,-1.2679,-0.692115832,-1.2809,-0.605792177,-1.3311,-0.354446398,,,-1.14,-0.9363995,-1.25,-0.3924323,-1.28,0.00759,-1.27,-1.2848475,-1.28,-1.442538,-1.33,-1.207508,,
-1.1444,-1.4517161,-1.2544,-0.774005636,-1.2877,-0.587589378,-1.2792,-0.746597555,-1.2995,-0.575784306,-1.3452,-0.212897522,,,-1.15,-1.156196,-1.26,-0.348243,-1.30,0.345269,-1.30,-0.7609865,-1.30,-1.0612245,-1.34,-0.906101,,
-1.1574,-1.4620905,-1.2544,-0.86094993,-1.2984,-0.529451263,-1.2895,-0.855875961,,,-1.3565,-0.188476664,,,-1.16,-1.437921,-1.26,-0.268773,-1.25,-0.7451744,-1.30,-0.611235,,,-1.35,-0.39337,,
-1.1659,-1.5672553,-1.2596,-1.092471,,,-1.2973,-0.657978668,,,,,,,-1.17,-1.3576984,,,,,-1.30,-0.390486,,,,,,
-1.1754,-1.2478426,,,,,-1.2978,-0.617577512,,,,,,,-1.17,-0.447422,,,,,-1.30,-0.213887,,,,,,
-1.1958,-1.3423421,,,,,-1.2984,-0.507028476,,,,,,,-1.20,-0.5426874,,,,,-1.30,0.07746,,,,,,
-1.2042,-1.0896097,,,,,-1.3001,-0.636146343,,,,,,,-1.21,0.1027703,,,,,-1.31,-0.301235,,,,,,
,,,,,,-1.3023,-0.480988886,,,,,,,,,,,,,-1.31,-0.195276,,,,,,
,,,,,,-1.3080,-0.413305986,,,,,,,,,,,,,-1.31,-0.406838,,,,,,
,,,,,,-1.3097,-0.61077971,,,,,,,,,,,,,-1.33,0.133295,,,,,,
,,,,,,-1.3119,-0.42182649,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
